customerID,SeniorCitizen,tenure,MonthlyCharges,TotalCharges,Churn,gender_Male,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
7590-VHVEG,0,-1.2773538915070082,-1.1602405389153638,-0.9941713491089545,No,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
5575-GNVDE,0,0.06632271016745371,-0.25961050958946036,-0.17323182628376238,No,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
3668-QPYBK,0,-1.2366364187289942,-0.36263460888504345,-0.9596059391462127,Yes,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True
7795-CFOCW,0,0.5142149107256077,-0.7464824627121354,-0.19475243593489464,No,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False
9237-HQITU,0,-1.2366364187289942,0.19735122115707743,-0.9404029336113563,Yes,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
9305-CDSKC,0,-0.9923315820609102,1.1594633742561515,-0.6451401691978217,Yes,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False
1452-KIOVK,0,-0.4222869631687143,0.8088491008469896,-0.14678906693806343,No,True,False,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False
6713-OKOMC,0,-0.9108966365048822,-1.163563896957157,-0.8740753110455589,No,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
7892-POOKP,0,-0.17798212650063028,1.330616313408491,0.337325324321715,Yes,False,True,False,True,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,True,False
6388-TABGU,0,1.2064119479518456,-0.2861973739238045,0.5324013736516707,No,True,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
9763-GRSKD,0,-0.7887442181708402,-0.4922455725149705,-0.7480197195403113,No,True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
7469-LKBCI,0,-0.6665917998367983,-1.522486565470801,-0.8630832458083653,No,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False
8091-TTVAX,0,1.0435420568397897,1.1827268805487023,1.5005639389107628,No,True,True,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,False,True,False,False
0280-XJGEX,0,0.6770848018376636,1.294059374948768,1.2159180085917867,Yes,True,False,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False
5129-JLPIS,0,-0.3001345448346723,1.353879819701042,0.17840389920566138,No,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,True,False,True,False
3655-SNQYZ,0,1.4914342573979436,1.6114400679399996,2.4779527757946473,No,False,True,True,True,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False
8191-XWSZG,0,0.7992372201717056,-1.4659894787603203,-0.5557689399901965,No,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True
9959-WOFKT,0,1.5728692029539715,1.3937601162025581,2.2515338898445814,No,True,False,True,True,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False
4190-MFLUW,0,-0.9108966365048822,-0.3177692753208379,-0.7741093201635302,Yes,False,True,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False
4183-MYFRB,0,-0.46300443594672824,0.8404210022440232,-0.18497435380622632,No,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,True,False
8779-QRDMV,1,-1.2773538915070082,-0.8345514508196499,-0.9898451547585729,Yes,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False
1680-VDCWW,0,-0.8294616909488542,-1.4942380221155607,-0.9180656444144888,No,True,True,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False
1066-JKSGK,0,-1.2773538915070082,-1.4826062689692852,-0.9984533986190258,Yes,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True
3638-WEABW,0,1.0435420568397897,-0.16157144735656692,0.5399722137648383,No,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,True,False,False
6322-HRPFA,0,0.6770848018376636,-0.17154152148194582,0.30388560778687873,No,True,True,True,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
